appointment_id,pet_owner_id,pet_id,groomer_id,appointment_datetime,cost
69,97,3,599,2027-01-07 21:48:24,74
70,18,2,578,2026-11-19 14:38:41,98
71,285,1,560,2026-06-14 20:41:34,124
72,240,3,546,2027-03-20 05:56:45,82
73,56,1,599,2026-12-18 19:53:02,93
74,89,3,549,2025-03-22 21:08:32,127
75,405,1,513,2025-02-15 10:06:29,133
76,97,3,586,2025-01-17 19:00:19,103
77,401,2,555,2027-04-03 13:47:07,95
78,254,3,591,2026-06-09 21:02:06,154
79,165,1,527,2025-06-24 16:43:33,133
80,496,3,545,2025-08-29 10:21:06,103
81,336,3,571,2026-11-10 17:06:44,105
82,482,1,522,2026-09-24 23:08:04,72
83,85,2,593,2026-06-10 12:00:12,83
84,304,3,539,2025-09-16 09:19:43,112
85,371,1,504,2027-08-04 14:41:55,140
86,321,2,527,2026-05-11 00:22:01,156
87,222,1,557,2026-03-09 23:56:13,97
88,144,1,599,2027-06-07 21:44:00,67
89,292,1,596,2026-12-27 15:09:32,124
90,141,1,507,2026-12-28 02:46:41,129
91,299,1,582,2026-09-27 03:33:35,114
92,166,1,541,2025-08-20 23:28:01,96
93,137,1,518,2025-04-14 07:04:49,157
94,430,1,502,2025-04-21 05:41:26,87
95,124,2,544,2025-06-25 15:44:42,130
96,247,1,529,2024-11-26 02:54:29,93
97,351,1,554,2025-10-19 02:31:05,125
98,469,1,598,2027-05-05 22:22:49,139
99,394,1,585,2025-05-20 15:50:30,134
100,198,2,548,2024-12-27 03:15:49,125
101,14,1,540,2027-09-13 20:29:54,87
102,208,1,539,2025-10-18 00:37:13,107
103,437,1,538,2025-07-17 23:14:36,148
104,459,2,587,2025-04-07 21:46:54,137
105,225,2,522,2025-03-04 21:13:10,63
106,382,2,597,2026-03-07 10:24:28,126
107,163,3,571,2026-03-07 06:05:53,91
108,117,1,545,2027-01-13 11:56:10,117
109,248,3,585,2025-08-31 19:46:23,149
110,90,1,553,2026-01-17 03:06:18,137
111,105,2,540,2025-08-31 20:24:18,107
112,330,1,578,2027-08-24 20:21:18,114
113,303,2,560,2025-12-21 14:54:12,131
114,240,1,504,2025-08-10 19:12:04,143
115,280,1,589,2025-06-13 16:52:20,84
116,71,3,560,2026-10-29 10:33:46,138
117,190,2,561,2027-10-08 16:42:09,107
118,485,3,531,2025-11-10 16:40:05,149
119,373,2,600,2026-07-18 18:24:17,108
120,346,1,538,2026-01-01 19:33:26,140
121,45,2,550,2025-05-13 18:53:28,129
122,364,1,593,2025-07-10 20:55:19,102
123,297,2,535,2027-06-16 08:22:23,136
124,180,1,537,2027-06-22 07:34:36,115
125,94,1,563,2027-07-27 00:48:12,135
126,449,1,512,2027-02-09 10:50:48,99
127,296,2,501,2025-05-28 16:20:17,130
128,322,1,577,2027-03-27 03:18:09,104
129,169,1,534,2026-04-23 09:52:07,70
130,37,1,503,2027-06-01 02:21:33,124
131,391,1,525,2025-06-24 11:25:09,144
132,260,2,576,2026-06-29 07:29:17,140
133,203,1,552,2025-02-17 22:59:56,109
134,336,1,528,2026-09-18 13:47:35,99
135,314,1,547,2025-04-11 06:32:23,119
136,322,1,556,2026-11-29 10:12:32,124
137,285,1,527,2026-04-27 16:59:44,159
138,52,1,535,2025-03-27 04:46:50,126
139,294,3,512,2027-06-26 16:35:47,104
140,62,2,540,2025-02-20 04:28:41,110
141,264,3,508,2027-06-02 14:56:42,120
142,457,2,584,2025-02-13 05:02:16,122
143,360,1,600,2025-01-07 09:36:09,104
144,240,3,586,2027-06-30 08:00:40,100
145,83,1,596,2027-09-21 21:51:24,126
146,452,3,567,2025-09-28 10:12:02,101
147,3,2,584,2027-10-07 21:23:41,124
148,500,2,509,2026-05-23 17:16:40,126
149,318,1,547,2026-03-25 23:55:11,133
150,190,2,572,2026-06-13 14:08:50,97
151,159,2,595,2027-09-09 07:16:07,104
152,14,1,588,2025-03-29 18:10:01,102
153,5,3,584,2026-06-20 13:59:04,131
154,252,3,594,2026-11-19 17:24:51,148
155,431,1,525,2026-12-08 18:04:39,132
156,272,2,547,2027-06-29 13:08:00,140
157,304,3,571,2026-05-30 10:12:21,94
158,429,1,504,2025-11-22 20:32:46,140
159,232,2,510,2027-03-24 13:47:17,86
160,15,1,593,2027-01-23 17:33:39,92
161,167,2,506,2025-10-30 20:36:42,105
162,328,1,537,2027-07-13 19:49:54,138
163,346,3,512,2025-12-11 07:35:27,98
164,141,3,536,2026-10-15 03:34:12,98
165,109,1,584,2024-11-28 18:56:00,123
166,303,1,559,2026-08-01 21:09:34,99
167,27,1,558,2027-02-09 19:35:50,105
168,248,2,590,2027-01-16 07:08:53,114
169,495,1,599,2025-06-27 11:58:02,76
170,472,1,505,2026-12-03 06:58:45,101
171,141,1,576,2026-01-15 13:03:48,153
172,422,3,600,2026-08-23 06:46:32,106
173,67,3,558,2027-10-24 06:42:35,86
174,220,1,593,2025-03-13 17:28:40,99
175,253,2,545,2025-03-04 19:02:29,125
176,8,3,587,2026-11-06 02:48:46,122
177,273,1,557,2026-10-12 10:30:36,98
178,150,1,519,2027-06-16 15:14:24,77
179,490,1,600,2026-02-26 04:52:04,113
180,222,1,568,2027-01-03 11:03:00,87
181,189,2,531,2027-07-28 23:40:11,154
182,150,1,508,2025-08-18 15:41:18,146
183,67,2,532,2027-07-14 12:09:42,97
184,23,3,533,2027-10-16 21:31:15,145
185,450,2,521,2025-01-05 12:10:13,121
186,350,1,526,2026-08-05 10:48:26,87
187,453,1,568,2027-01-24 06:49:26,72
188,235,1,587,2025-05-03 23:23:21,116
189,118,3,564,2025-09-09 09:16:02,107
190,291,3,516,2025-04-10 07:09:19,137
191,4,2,583,2025-01-05 12:24:28,136
192,455,3,576,2026-12-17 21:11:05,148
193,127,1,522,2025-06-02 13:30:31,82
194,190,2,523,2025-02-25 00:30:45,87
195,373,1,571,2027-08-13 14:35:04,102
196,246,1,564,2025-08-29 15:44:00,116
197,304,2,508,2024-12-27 09:45:39,130
198,383,1,586,2025-01-23 20:47:45,116
199,212,2,596,2025-08-05 13:54:28,130
200,225,1,507,2025-06-14 21:32:01,119
201,96,3,556,2027-06-23 17:26:02,103
202,266,1,527,2025-03-22 07:38:31,146
203,230,2,548,2027-09-17 09:04:53,133
204,51,1,583,2026-09-16 21:05:40,148
205,291,1,526,2026-10-24 23:28:24,69
206,305,3,518,2027-10-19 17:03:15,139
207,53,1,585,2024-12-11 05:02:58,156
208,322,2,517,2025-10-22 16:12:46,115
209,382,2,553,2027-10-12 08:23:49,117
210,110,1,557,2025-05-03 23:14:56,114
211,229,2,552,2026-08-27 02:44:15,119
212,452,1,535,2027-02-21 02:22:15,144
213,222,2,556,2026-09-12 14:59:33,121
214,67,3,548,2026-02-27 16:35:47,126
215,228,2,524,2025-03-03 18:34:25,113
216,18,3,510,2026-05-21 02:06:28,92
217,386,1,598,2026-08-11 23:02:31,143
218,131,2,533,2026-12-21 06:19:19,128
219,205,1,589,2027-02-08 08:14:46,85
220,392,2,504,2025-03-18 22:51:45,147
221,53,1,584,2026-08-26 21:18:28,126
222,344,3,518,2026-11-12 09:48:09,128
223,112,1,576,2026-04-20 00:16:05,137
224,142,3,555,2024-12-10 00:26:58,107
225,31,2,532,2026-08-18 03:06:12,113
226,398,1,526,2027-04-02 23:34:53,67
227,240,2,596,2027-10-23 12:20:34,125
228,477,2,548,2026-11-26 08:10:23,128
229,246,1,584,2026-09-01 13:41:36,128
230,238,2,588,2027-02-13 02:54:18,122
231,486,1,510,2027-06-16 01:59:03,98
232,418,1,526,2027-10-21 07:49:29,71
233,294,3,529,2025-11-05 14:22:23,95
234,380,3,512,2027-07-17 11:32:17,106
235,82,1,512,2027-04-07 08:34:00,106
236,120,3,598,2026-06-01 06:18:49,148
237,54,1,599,2027-07-11 11:35:29,73
238,444,2,564,2024-11-24 20:27:16,105
239,157,2,546,2026-06-15 09:29:22,101
240,72,1,574,2027-11-23 01:42:57,102
241,9,2,583,2026-11-13 12:08:12,134
242,390,1,516,2027-11-04 12:34:16,113
243,471,3,593,2027-05-13 00:01:39,88
244,132,2,525,2026-09-21 00:31:07,145
245,416,2,528,2024-12-12 01:31:30,91
246,62,1,558,2025-03-25 23:14:38,87
247,135,1,514,2027-06-07 19:44:10,143
248,418,1,555,2027-08-29 23:26:50,105
249,435,3,527,2027-03-18 21:10:35,136
250,383,1,582,2027-04-20 02:01:24,91
251,464,2,545,2026-06-07 03:47:37,113
252,281,1,553,2025-07-05 12:49:45,131
253,464,1,546,2027-07-24 05:15:44,86
254,461,2,545,2027-01-10 01:33:42,110
255,66,2,518,2025-04-23 14:58:26,141
256,127,1,504,2026-09-25 09:25:28,134
257,457,3,594,2025-03-07 01:18:42,161
258,33,1,519,2027-11-13 16:20:02,77
259,342,2,554,2026-02-18 02:41:50,124
260,358,1,539,2025-09-03 11:42:06,110
261,147,1,593,2025-04-14 05:21:31,97
262,262,1,551,2027-01-30 12:20:14,113
263,332,2,517,2025-02-13 12:45:43,94
264,49,1,578,2025-07-21 18:30:00,103
265,496,3,530,2027-05-22 09:52:24,131
266,151,1,557,2027-01-27 01:57:17,115
267,386,2,570,2025-12-08 10:07:16,124
268,436,2,586,2026-09-22 15:13:13,115
269,65,1,591,2026-08-30 01:20:56,134
270,117,1,503,2024-12-07 07:45:10,152
271,6,3,563,2026-11-24 07:03:52,143
272,237,3,575,2025-08-16 21:46:02,81
273,139,3,545,2027-10-06 20:13:21,119
274,158,1,569,2026-07-01 06:30:45,88
275,289,2,542,2026-12-09 20:04:55,152
276,40,1,555,2027-08-01 02:27:50,105
277,486,2,542,2027-01-13 09:58:41,144
278,48,3,574,2025-01-08 11:43:25,113
279,96,2,502,2025-11-26 23:04:28,86
280,131,2,519,2025-10-01 15:44:12,76
281,142,1,531,2025-05-17 01:28:25,143
282,315,1,566,2027-06-11 15:29:05,120
283,60,1,531,2027-07-20 03:20:12,160
284,159,2,589,2027-04-11 01:44:52,77
285,174,1,586,2027-10-10 09:41:48,113
286,347,1,516,2026-09-07 07:59:25,112
287,315,2,506,2025-09-27 12:46:24,130
288,252,3,544,2026-08-15 11:09:51,157
289,326,1,528,2026-06-14 03:34:55,77
290,71,2,535,2025-10-09 12:39:36,125
291,344,1,575,2026-04-26 21:48:14,101
292,445,1,597,2027-02-26 14:48:29,114
293,226,2,551,2024-12-18 18:05:35,90
294,326,2,506,2026-08-09 18:12:51,129
295,173,1,538,2027-07-07 23:47:17,135
296,468,1,535,2026-10-15 02:21:59,142
297,407,1,585,2026-07-19 14:53:15,161
298,113,2,518,2027-06-01 07:31:22,137
299,26,1,563,2026-02-04 11:13:43,160
300,420,3,586,2027-05-01 01:20:05,102
301,269,2,581,2024-12-02 07:23:41,145
302,373,3,539,2027-11-04 23:00:10,92
303,260,2,501,2027-01-27 22:45:45,144
304,145,2,573,2026-06-06 10:56:04,126
305,246,1,586,2026-03-25 19:39:41,105
306,400,1,588,2026-10-06 02:07:37,106
307,418,1,562,2025-06-17 11:39:14,103
308,486,3,592,2026-09-10 03:05:22,132
309,425,1,568,2026-11-21 01:00:10,86
310,227,2,558,2025-09-12 08:36:35,103
311,202,1,520,2026-06-03 04:28:56,115
312,318,3,586,2026-01-19 15:53:11,96
313,64,1,567,2027-05-30 09:31:54,108
314,365,3,542,2026-04-20 02:35:14,160
315,343,2,512,2026-11-09 01:41:27,107
316,254,1,546,2026-05-28 21:29:35,101
317,9,3,533,2025-12-03 12:58:54,131
318,350,3,574,2025-12-05 07:53:22,109
319,239,2,538,2027-05-28 05:19:45,127
320,414,1,520,2026-10-16 09:07:31,111
321,292,1,585,2027-09-09 11:26:26,152
322,296,1,531,2025-07-23 22:33:02,149
323,45,2,530,2026-12-07 05:47:07,138
324,25,2,550,2026-03-23 19:32:09,126
325,256,1,532,2026-01-05 21:44:00,114
326,12,2,516,2026-10-31 14:02:39,119
327,185,2,578,2027-01-28 18:59:06,104
328,270,1,565,2026-03-03 01:50:15,159
329,395,1,593,2025-10-21 04:59:29,96
330,15,1,519,2024-12-26 02:23:11,104
331,463,1,556,2025-03-15 02:11:14,100
332,270,2,552,2025-09-21 17:53:03,135
333,313,3,568,2027-08-19 19:57:22,81
334,229,1,543,2027-04-02 02:29:14,138
335,382,1,543,2025-08-23 18:59:09,153
336,175,1,544,2025-10-22 10:11:00,129
337,341,2,570,2027-04-11 06:28:47,145
338,137,3,546,2027-06-03 22:07:23,103
339,444,2,555,2027-10-02 07:10:25,88
340,332,1,552,2026-02-26 19:30:13,116
341,74,2,507,2026-04-06 11:09:49,102
342,363,3,518,2025-01-30 12:13:19,139
343,31,2,525,2027-06-21 11:24:13,152
344,484,1,595,2026-03-28 15:02:02,109
345,491,3,568,2027-05-11 07:45:18,74
346,159,1,518,2027-01-23 21:53:31,157
347,286,1,538,2027-04-26 10:55:30,122
348,106,1,518,2027-11-03 05:57:17,155
349,159,1,578,2026-09-23 11:42:45,118
350,422,1,542,2025-12-29 13:02:02,147
351,272,1,504,2025-09-12 19:40:20,130
352,97,1,546,2026-02-18 03:19:14,82
353,144,3,532,2026-09-24 00:43:14,100
354,213,2,565,2026-02-27 19:01:20,158
355,307,2,584,2026-11-21 08:17:20,126
356,90,3,533,2027-10-02 06:03:58,150
357,42,2,542,2027-05-05 19:18:49,164
358,203,1,584,2025-10-21 10:21:38,102
359,211,1,502,2026-01-04 01:56:30,83
360,310,2,545,2026-05-18 15:01:20,121
361,280,2,508,2025-05-29 15:05:02,136
362,205,2,581,2027-02-01 09:48:24,146
363,225,1,596,2024-12-05 08:11:46,117
364,463,1,588,2026-12-31 21:12:07,99
365,317,3,598,2025-10-29 21:36:33,154
366,263,2,525,2025-05-29 11:55:15,138
367,173,1,572,2027-09-21 07:00:12,80
368,9,1,534,2025-07-27 05:25:24,84
369,143,1,551,2025-07-31 04:54:40,98
370,154,2,513,2027-03-03 00:32:25,121
371,420,1,509,2025-05-28 10:44:38,142
372,361,1,585,2026-08-16 06:49:26,145
373,399,1,580,2026-04-18 04:19:51,126
374,462,2,557,2026-05-23 22:13:31,123
375,143,1,540,2026-08-23 18:05:49,107
376,458,2,585,2027-04-11 07:45:41,143
377,118,2,503,2026-05-01 13:47:26,149
378,449,2,511,2026-06-11 11:32:05,88
379,283,3,536,2025-01-17 10:55:38,99
380,447,2,544,2026-11-27 10:51:07,142
381,231,2,516,2027-11-12 03:20:12,123
382,259,2,566,2027-06-19 04:11:19,106
383,379,3,508,2026-12-16 06:44:14,122
384,40,1,504,2026-12-11 03:25:03,132
385,471,2,596,2024-12-02 20:38:40,119
386,92,3,577,2025-06-12 15:02:16,87
387,488,1,577,2026-10-01 00:15:26,108
388,345,2,549,2025-07-19 07:33:02,146
389,363,3,502,2027-03-26 00:59:57,89
390,409,1,519,2027-10-14 19:15:14,89
391,255,2,595,2025-07-20 04:34:34,110
392,250,2,594,2027-06-07 05:36:01,156
393,376,1,544,2025-03-09 09:04:33,136
394,385,3,529,2025-01-21 16:45:09,107
395,378,1,550,2026-03-01 05:36:15,120
396,223,2,507,2026-03-13 07:01:35,102
397,185,2,579,2026-02-16 08:16:38,159
398,379,3,579,2026-08-19 15:13:33,149
399,350,3,600,2027-07-02 12:01:38,115
400,364,2,579,2026-10-11 12:28:21,139
401,129,1,569,2026-07-28 00:44:58,96
402,238,1,582,2026-05-11 07:02:28,117
403,302,1,509,2026-07-03 05:49:00,135
404,154,1,596,2027-02-06 23:52:20,110
405,199,1,534,2027-09-28 04:31:01,73
406,212,3,584,2025-06-25 05:39:10,123
407,417,2,576,2027-05-19 19:39:47,139
408,84,1,571,2027-05-17 01:57:58,95
409,48,1,573,2027-01-14 22:47:43,102
410,97,3,540,2025-01-06 09:13:27,99
411,82,2,556,2027-03-02 01:34:32,130
412,40,3,508,2027-09-05 09:34:47,133
413,5,2,526,2025-01-01 07:46:55,75
414,226,1,588,2025-08-28 19:32:37,105
415,157,2,581,2027-07-13 21:18:21,148
416,323,2,593,2025-08-04 18:32:19,86
417,279,2,514,2027-01-03 06:16:58,121
418,60,2,513,2027-03-25 00:40:25,135
419,424,2,577,2026-07-23 02:08:10,86
420,167,3,510,2026-02-19 00:40:39,110
421,461,2,549,2025-07-22 09:07:03,127
422,35,1,580,2027-04-05 07:01:58,123
423,12,2,524,2027-11-13 00:18:13,113
424,174,1,600,2027-04-10 05:57:05,95
425,480,1,594,2026-07-17 07:18:15,152
426,132,2,583,2025-07-25 16:43:39,148
427,350,2,597,2025-01-02 08:55:40,135
428,384,3,540,2025-04-23 04:22:09,85
429,499,3,508,2026-10-16 05:03:13,140
430,290,1,542,2026-10-10 19:08:59,148
431,318,2,586,2026-06-01 22:21:40,108
432,405,3,582,2026-03-11 19:43:43,88
433,423,2,529,2026-08-30 22:18:18,91
434,483,1,519,2026-05-25 19:59:10,89
435,278,2,556,2026-03-01 11:05:59,130
436,317,1,544,2026-06-29 03:57:38,156
437,264,3,563,2027-02-14 14:31:25,147
438,33,1,575,2025-01-10 19:53:13,104
439,321,1,553,2027-03-08 08:54:26,115
440,419,1,504,2026-07-17 22:05:46,144
441,82,1,541,2025-09-15 11:21:42,73
442,156,2,587,2025-11-21 23:36:58,110
443,304,1,571,2025-06-27 06:33:55,103
444,90,2,543,2027-07-23 00:56:29,145
445,455,1,526,2026-10-18 06:31:55,96
446,97,1,556,2027-03-28 01:53:19,117
447,29,1,597,2027-10-29 23:50:07,116
448,87,1,540,2026-09-23 06:50:08,90
449,56,1,532,2026-10-06 00:34:02,124
450,110,3,592,2027-09-02 09:43:07,126
451,34,1,527,2027-05-22 18:01:43,161
452,382,2,559,2027-08-12 15:41:55,106
453,50,1,511,2026-07-20 00:10:21,73
454,118,1,571,2026-07-01 04:37:09,97
455,424,2,542,2026-05-07 10:42:40,150
456,71,3,592,2026-04-24 02:09:12,132
457,412,2,574,2027-10-01 07:33:04,95
458,352,1,527,2026-03-06 23:39:49,136
459,364,1,587,2026-05-15 16:06:12,123
460,497,1,525,2025-10-19 16:23:10,151
461,191,1,553,2027-05-25 15:42:22,116
462,438,1,505,2027-06-17 13:56:53,92
463,281,1,580,2026-03-16 18:57:27,125
464,288,2,599,2025-01-11 13:27:34,73
465,340,2,515,2026-01-25 10:17:21,107
466,103,1,503,2025-07-09 19:24:35,145
467,5,2,506,2026-09-12 01:49:51,132
468,109,3,568,2025-12-13 01:34:31,75
469,129,3,529,2027-04-18 11:38:27,91
470,232,2,559,2027-09-21 10:39:23,109
471,330,1,560,2026-07-14 02:26:47,140
472,239,2,562,2027-04-09 00:35:12,100
473,195,2,513,2025-06-29 22:55:43,114
474,103,3,598,2025-05-25 07:15:20,158
475,35,1,596,2027-01-07 22:12:48,130
476,43,1,548,2026-09-25 07:01:07,138
477,176,3,506,2025-11-06 18:37:47,127
478,404,2,578,2025-01-20 02:11:05,118
479,25,2,535,2025-01-27 20:49:01,145
480,37,2,501,2024-12-01 17:35:06,145
481,235,1,591,2027-01-14 03:55:05,158
482,132,3,539,2027-07-05 14:21:22,118
483,150,3,522,2026-12-28 23:08:15,81
484,332,2,532,2026-05-04 04:41:23,125
485,135,2,556,2027-05-10 23:28:42,129
486,453,1,523,2026-01-01 00:28:41,89
487,229,3,530,2025-09-09 14:14:15,129
488,381,2,572,2025-10-02 02:24:28,81
489,359,2,544,2027-03-24 11:33:03,155
490,482,1,504,2026-10-05 22:17:29,146
491,117,1,520,2026-08-23 06:57:02,109
492,280,1,593,2027-02-13 22:08:41,104
493,235,3,501,2026-06-13 04:38:32,147
494,355,1,502,2027-07-19 00:26:09,108
495,417,1,585,2025-01-29 07:10:17,162
496,187,1,503,2026-12-10 02:28:56,125
497,70,1,515,2025-02-21 08:07:47,112
498,455,3,565,2025-03-02 00:27:48,159
499,87,3,537,2025-08-09 10:09:45,113
500,25,2,556,2027-10-10 22:21:51,103
501,96,3,512,2026-12-04 10:09:12,103
502,91,2,534,2026-07-04 02:21:17,88
503,212,3,578,2027-08-25 05:09:33,100
504,426,2,527,2027-05-24 14:45:22,150
505,191,1,540,2027-01-19 23:38:06,92
506,428,1,531,2026-07-01 16:02:42,136
507,4,1,535,2025-10-26 21:21:59,132
508,56,1,538,2027-06-11 17:43:44,147
509,240,2,584,2025-03-16 14:31:01,123
510,15,1,519,2025-08-13 13:00:16,101
511,490,1,600,2027-10-27 21:47:05,106
512,123,2,522,2026-12-31 16:50:18,90
513,280,1,504,2026-11-27 06:57:09,133
514,199,1,580,2026-11-19 01:08:08,135
515,435,3,568,2027-03-10 05:01:17,98
516,171,1,589,2026-12-05 02:35:40,80
517,142,3,521,2025-02-05 18:15:26,134
518,332,3,533,2026-04-14 12:39:18,155
519,491,1,554,2026-10-27 15:40:49,106
520,386,1,522,2024-12-10 23:22:32,65
521,354,3,503,2025-07-01 20:03:53,123
522,270,1,502,2025-06-01 06:34:14,106
523,6,2,522,2026-01-13 14:49:59,82
524,401,1,590,2026-05-20 22:38:14,110
525,290,1,530,2025-01-11 13:47:04,139
526,312,1,521,2025-05-09 08:10:30,120
527,311,1,512,2025-12-11 16:15:56,107
528,47,3,552,2027-10-15 11:12:04,111
529,447,2,519,2026-04-28 14:21:11,96
530,441,3,569,2027-04-01 00:54:16,103
531,361,1,544,2024-12-15 22:21:29,128
532,485,2,519,2026-11-08 07:22:01,85
533,410,1,535,2027-04-24 00:18:17,132
534,114,2,589,2026-08-15 01:21:13,79
535,140,1,533,2026-02-08 20:32:42,153
536,60,1,600,2027-09-25 23:47:09,117
537,371,1,521,2026-08-23 09:21:18,110
538,425,2,600,2026-09-04 21:16:37,105
539,389,2,535,2025-08-27 08:49:39,134
540,123,3,546,2026-01-19 11:06:58,91
541,75,1,521,2026-07-03 19:14:48,112
542,222,3,566,2025-05-13 08:30:51,102
543,72,2,519,2027-03-08 13:04:25,98
544,449,1,523,2027-08-02 02:28:13,85
545,215,1,521,2025-08-06 18:02:05,126
546,60,2,520,2026-09-08 08:59:20,112
547,207,1,563,2025-07-13 19:27:21,150
548,193,2,538,2026-02-14 12:57:14,138
549,468,1,580,2025-04-26 15:38:32,125
550,19,1,515,2026-09-23 01:45:19,86
551,425,2,597,2027-03-13 03:40:37,116
552,15,1,551,2025-12-25 16:23:11,89
553,420,1,579,2024-12-09 10:28:07,149
554,4,1,522,2025-03-14 08:57:32,92
555,68,1,511,2026-04-17 14:12:55,94
556,403,1,527,2026-04-03 14:07:09,134
557,223,2,566,2026-11-28 14:58:30,93
558,304,2,564,2026-12-19 11:08:57,124
559,167,2,592,2026-01-01 05:33:31,140
560,490,2,544,2026-09-24 11:36:25,157
561,368,2,561,2027-04-10 01:46:01,127
562,364,2,552,2026-02-24 04:54:24,134
563,345,3,535,2025-05-31 15:58:25,143
564,416,2,569,2026-12-29 05:06:09,112
565,132,3,535,2026-06-23 02:38:47,145
566,154,1,539,2025-11-05 21:48:20,98
567,104,1,506,2027-01-23 19:36:53,106
568,212,3,592,2027-06-05 22:27:42,118
569,220,2,538,2026-10-13 10:12:20,131
570,171,2,573,2027-06-03 23:41:14,125
571,146,1,580,2025-04-11 02:23:04,147
572,455,1,561,2025-07-20 03:29:00,132
573,12,3,521,2025-03-26 09:59:02,110
574,334,1,585,2026-02-22 18:54:14,133
575,374,1,502,2026-07-08 18:58:37,90
576,480,3,519,2026-08-30 14:33:29,89
577,169,2,537,2026-08-26 06:18:30,117
578,192,1,533,2026-02-18 06:57:42,141
579,441,3,579,2025-12-25 08:00:06,155
580,80,1,546,2026-04-25 18:06:40,103
581,14,3,599,2025-12-31 03:35:48,67
582,484,1,558,2026-11-19 04:15:20,100
583,159,1,536,2027-09-08 02:25:36,93
584,24,2,563,2026-07-29 18:32:05,160
585,52,1,515,2025-11-17 23:23:17,97
586,358,1,568,2027-10-26 05:19:08,95
587,354,1,565,2026-08-01 15:27:11,142
588,81,2,535,2027-09-03 07:09:58,118
589,169,2,574,2025-10-27 09:54:38,107
590,407,2,515,2025-10-07 17:42:16,96
591,103,3,517,2025-10-15 21:10:19,85
592,60,2,509,2024-12-03 15:50:26,131
593,297,1,544,2026-09-15 12:21:08,133
594,483,2,591,2026-07-11 03:42:08,154
595,291,2,519,2025-10-07 09:58:20,82
596,127,2,525,2027-08-21 19:25:14,136
597,486,2,572,2024-12-26 11:18:43,94
598,28,1,591,2026-04-28 01:37:01,132
599,499,3,599,2025-03-08 08:47:26,78
600,27,1,519,2026-11-03 09:03:44,84
601,184,1,523,2026-05-06 07:42:19,62
602,144,2,519,2025-06-17 15:54:54,85
603,211,3,577,2027-01-24 09:51:00,101
604,415,2,573,2026-08-01 02:47:19,106
605,118,1,560,2027-03-28 16:31:40,120
